idOpstina,NazivOpstineLat,Godina,OznakaOP,Opis,IznosUkupno
70785,Majdanpek,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),718804
70785,Majdanpek,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),715425
80241,Mali Idjos,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),237581
80241,Mali Idjos,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),317075
80241,Mali Idjos,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),326584
70793,Mali Zvornik,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),296286
70793,Mali Zvornik,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),403554
70793,Mali Zvornik,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),418442
70807,Malo Crnice,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),202328
70807,Malo Crnice,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),314856
70807,Malo Crnice,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),307586
70815,Medvedja,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),220642
70815,Medvedja,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),391451
70815,Medvedja,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),370367
70823,Merosina,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),222179
70823,Merosina,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),328932
70823,Merosina,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),333137
70831,Mionica,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),226603
70831,Mionica,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),358824
70831,Mionica,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),345309
70840,Negotin,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),885172
70840,Negotin,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1077622
70840,Negotin,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1039056
80250,Nova Crnja,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),229804
