,date,pres_name,mun,party_id,mun_id,name_abr,name_full,in_gov11,ingov12,ingov14,ag1_name_abr,ag1_party_id,ag1_name_full,ag2_name_abr,ag2_party_id,ag2_name_full,nat_party
144,2016-03-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
145,2016-04-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
146,2008-07-31,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
147,2008-08-31,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
148,2008-09-30,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
149,2008-10-31,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
150,2008-11-30,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
151,2008-12-31,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
152,2009-01-31,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
153,2009-02-28,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
154,2009-03-31,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
155,2009-04-30,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
156,2009-05-31,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
157,2009-06-30,Danilo Basic,Beograd-Palilula,2,70203,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
